run,t_g,spectral_decay__baseline,spectral_decay__plateau,spectral_decay__ratio,participation_ratio__baseline,participation_ratio__plateau,participation_ratio__ratio,effective_rank__baseline,effective_rank__plateau,effective_rank__ratio,rms_radius__baseline,rms_radius__plateau,rms_radius__ratio,h1_max_persistence__connectivity__baseline,h1_max_persistence__connectivity__plateau,h1_max_persistence__connectivity__ratio,h1_max_persistence__mean_pairwise__baseline,h1_max_persistence__mean_pairwise__plateau,h1_max_persistence__mean_pairwise__ratio,h1_max_persistence__diameter__baseline,h1_max_persistence__diameter__plateau,h1_max_persistence__diameter__ratio,h1_max_persistence__rms_radius__baseline,h1_max_persistence__rms_radius__plateau,h1_max_persistence__rms_radius__ratio,h1_total_persistence__connectivity__baseline,h1_total_persistence__connectivity__plateau,h1_total_persistence__connectivity__ratio,h1_total_persistence__mean_pairwise__baseline,h1_total_persistence__mean_pairwise__plateau,h1_total_persistence__mean_pairwise__ratio,h1_total_persistence__diameter__baseline,h1_total_persistence__diameter__plateau,h1_total_persistence__diameter__ratio,h1_total_persistence__rms_radius__baseline,h1_total_persistence__rms_radius__plateau,h1_total_persistence__rms_radius__ratio
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,600.0,1.2831547681942068,1.5814384292899444,1.2324611718627787,55.20978119188099,8.717127696369735,0.15789100243077314,66.6268159120319,9.443640359344105,0.14173933168009475,11.286673773576913,10.65656830088287,0.9441726158357501,0.06550626573126983,0.48216150722683,7.3605402757169704,0.06141372711420663,0.3158247948246877,5.142576581248218,0.05222946467819393,0.23504443149848592,4.5002267005163885,0.08717683606732438,0.4424373161499635,5.075170608489173,3.1113275369768587,7.559678135405107,2.4297275184182365,2.9074862632682406,4.929046793329614,1.6952949548208638,2.465819964367244,3.665590689852825,1.4865605530099821,4.127234983201314,6.90427721231862,1.6728577947270833
mlp_add97_f0.3_wd0.0_stablemax_ce_s1,700.0,1.2569840457650947,22.188466409904052,17.652146409223903,54.63939629691927,6.605649521844251,0.12089536066518906,66.32480027830573,7.204582127165873,0.10862576437372898,11.321559423505354,10.227584954995518,0.903372457133549,0.05947052209113682,0.6413522930484606,10.78437300526145,0.05527791206222542,0.35406974646512357,6.4052662855021225,0.046538917886843854,0.2407822672216403,5.1737831078729775,0.07845072087307951,0.49350390478173656,6.290622945073322,3.1781003229810354,19.277316207519526,6.065672649829235,3.034107551282952,10.641102579953493,3.50716063952775,2.5928449070847446,7.249091015885343,2.795805871796563,4.307956040285577,14.83194407701976,3.4429190869915516
mlp_add97_f0.3_wd0.0_stablemax_ce_s2,,1.2029640348968258,1.2014062344696215,0.9987050315869684,54.12416809998787,54.83174885001134,1.0130732863868928,65.4900764351924,66.06073821474718,1.008713713750502,11.186357939911446,11.178220840800495,0.9992725872750846,0.07103746984976367,0.07331732008020492,1.0320936293939365,0.06726010317228537,0.06914752926568676,1.0280615997356828,0.055304306059964045,0.05694876167201052,1.0297346758182528,0.09543398973641795,0.09812209745558476,1.0281671941683583,1.492642889228052,1.5337572905653314,1.0275447005000253,1.4132727224539383,1.4465255762239289,1.023528971614376,1.1620567333797966,1.1913355113415771,1.025195652777317,2.0052638619320566,2.05265653208693,1.0236341316744275
mlp_add97_f0.3_wd1.0_softmax_ce_s0,14300.0,1.188636967930307,1.304827903187765,1.0977514063522467,64.38934468610756,11.181678898634651,0.1736572868250851,74.57933306972929,12.270614029757786,0.16453102387339874,3.0376793260059927,2.0042405862324153,0.6597933393014314,0.04842026160982779,0.15607188437617767,3.2232763555432746,0.046229168173384655,0.1155334806199345,2.4991468630069393,0.040981221694253556,0.08551893571743073,2.086783462812733,0.06566382491799523,0.16262263581093703,2.476594015259232,2.7191896634632826,22.479753416523188,8.267078136760773,2.596180772701251,16.670924137114223,6.421326400845581,2.3014741163976242,12.341781935973898,5.362555176284944,3.68761080644979,23.465637198480746,6.363371415833345
mlp_add97_f0.3_wd1.0_softmax_ce_s1,13200.0,1.2642886838037808,2.129777114176251,1.6845655121807568,63.32678698466992,9.279876355511139,0.14653951033008514,74.32107020091884,10.573237535654485,0.1422643337491091,3.0218115800597802,1.980857180727334,0.6555197530509652,0.05089764673215629,0.22044954246844994,4.331232515101205,0.047984256648170326,0.15762920626039595,3.2850192390425716,0.04178082588233843,0.1181423579350156,2.8276692822617626,0.06814187567208804,0.2212720484823138,3.2472256787752354,2.425428109181204,12.010236094148315,4.951800487792164,2.325650631379303,8.39443654637201,3.609500254728035,2.036535868486027,6.200870145438206,3.0448126357076983,3.303175214311464,11.772812886825674,3.564089738812017
mlp_add97_f0.3_wd1.0_softmax_ce_s2,12100.0,1.1865924751243935,12.745939241682564,10.74163161227394,63.27325634646013,8.130396759499838,0.12849657547228008,73.66561544844527,8.637180532651755,0.11724846768838126,3.026251309497345,1.9209934841581262,0.6347765891515467,0.05231489165155387,0.22863989351721603,4.370455262338767,0.04990455673755607,0.1595538505864078,3.197179997519832,0.04399646366342687,0.11458484931904087,2.6044104407030404,0.07088436806781923,0.22349540146446586,3.1529575216165395,3.130006782480704,2.610837889676747,0.8341317035765377,2.9838743853878134,1.8163524195267058,0.6087228163563041,2.6280662589656445,1.3009260961897047,0.4950126701530439,4.238293900729155,2.544291760495602,0.6003103654651893
mlp_add97_f0.3_wd1.0_softmax_ce_s3,9500.0,1.18234812382914,1.5051862462778627,1.2730482807408554,63.20565272475328,11.06978690932732,0.17513919138741924,73.63336552037421,12.338530341133232,0.16756711110426134,3.0471281257611267,1.9954116288396655,0.6548499263847797,0.04770762762838891,0.11293889537373353,2.3673131737644417,0.04506350203867198,0.08821765234089984,1.9576297524589727,0.039330035477382196,0.06650205282036026,1.690871925569558,0.06400379545933228,0.12416046512968439,1.9398922241818515,2.6193548785316203,7.103150701258622,2.7117939457064195,2.4651829129945075,5.557210670825714,2.2542792429447993,2.1448969452441276,4.1908595897572445,1.9538745668175912,3.500959684503434,7.821459483763892,2.234090132024261
mlp_add97_f0.3_wd1.0_softmax_ce_s4,12100.0,1.138821874809588,1.2155702811552804,1.067392810099055,64.74126795497489,10.059387789027305,0.15537829435196157,74.72112557038518,10.78620018560855,0.14435275303030942,3.0656029666835245,1.9328482397736897,0.6304952926975772,0.04615466123387125,0.15215849864217726,3.2967092504735707,0.04427332416454885,0.1126915728657481,2.545360552709165,0.03938388439997714,0.08428100798845703,2.1399871869547216,0.06288696962780416,0.158406546488802,2.5189088840872667,2.9664235953377487,5.748154375355098,1.9377388935246211,2.8417062469396885,4.258460745032009,1.4985576885781429,2.5310113693079463,3.1848644190798625,1.258336670352729,4.036455658066413,5.985967213458898,1.4829760860859702
mlp_add97_f0.4_wd0.0_softmax_ce_s0,900.0,1.3515059807198746,1.3566581352548233,1.0038121581468729,58.48928612067529,54.2498877802319,0.9275183777812462,71.12992640240797,68.39699136153492,0.9615782669953593,11.569790391525292,11.5673820859671,0.9997918453596225,0.05601321118614382,0.05487024239070598,0.979594656845516,0.052177846791330744,0.0515118037074717,0.9872351366563156,0.044550642981581706,0.043387600311265775,0.9738939195378895,0.07410389755355096,0.07314551062083427,0.9870669834602949,3.314541806295126,3.5616594963488017,1.0745556111509407,3.0875868547795364,3.343646327364384,1.0829319091666916,2.6362525113773425,2.8155631338837237,1.0680172410391364,4.385045264311069,4.747920894973104,1.0827529954172654
mlp_add97_f0.4_wd0.0_softmax_ce_s1,900.0,1.2622028698880374,1.3727656121555314,1.0875950648704367,61.203760050421046,53.921637140796705,0.8810183736485281,73.12525352538135,68.5096232743119,0.9368804889070588,11.592293946491997,11.5911383469571,0.999900313126959,0.061707496256986176,0.059585344237622274,0.9656094940146978,0.05765031255465114,0.05563658618660075,0.9650699835123804,0.05067265665060568,0.048048912353433226,0.9482216944877492,0.08188499764109515,0.07900344363646027,0.9648097443042639,3.8476608565999486,4.819069943925655,1.2524674402265559,3.594682403957861,4.499281325628148,1.2516491917823658,3.1596031166536105,3.8858811605977173,1.2298636939924659,5.105792963213136,6.388945090980965,1.2513129962403187
