run,t_g,n_collapses,n_snapshots,n_contaminated,h1_max_persistence__ratio__all,h1_total_persistence__ratio__all,h1_max_persistence_normalised__ratio__all,h1_total_persistence_normalised__ratio__all,h0_total_persistence__ratio__all,lid__ratio__all,h1_max_persistence__ratio__clean,h1_total_persistence__ratio__clean,h1_max_persistence_normalised__ratio__clean,h1_total_persistence_normalised__ratio__clean,h0_total_persistence__ratio__clean,lid__ratio__clean
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,600.0,0,126,0,4.7867169046479505,1.575262178534248,7.36054027571698,2.4297275184182365,0.6632424880060168,1.2023086923567596,,,,,,
mlp_add97_f0.3_wd0.0_stablemax_ce_s1,700.0,0,126,0,5.663795218019083,3.11234853738148,10.784373005261454,6.065672649829234,0.5345620560654224,0.7388039604354149,,,,,,
mlp_add97_f0.3_wd0.0_stablemax_ce_s2,,0,126,0,,,,,,,,,,,,
mlp_add97_f0.3_wd1.0_softmax_ce_s0,14300.0,0,127,0,1.6519235707272861,4.195591831953272,3.223276355543278,8.267078136760771,0.5280758539958447,2.619637835274258,,,,,,
mlp_add97_f0.3_wd1.0_softmax_ce_s1,13200.0,0,127,0,2.141332290511389,2.2704420079248107,4.331232515101209,4.951800487792166,0.5034081426577199,2.6241193930733777,,,,,,
mlp_add97_f0.3_wd1.0_softmax_ce_s2,12100.0,0,127,0,2.0052443532010904,0.3875335215491977,4.370455262338772,0.8341317035765378,0.47680148252987625,3.0515626169218955,,,,,,
mlp_add97_f0.3_wd1.0_softmax_ce_s3,9500.0,0,127,0,1.2821082672382644,1.4690647147702873,2.3673131737644417,2.71179394570642,0.5505769102433865,1.7369036467029169,,,,,,
mlp_add97_f0.3_wd1.0_softmax_ce_s4,12100.0,0,127,0,1.5816923120596091,0.9462052147762617,3.2967092504735738,1.9377388935246211,0.5022420278333325,3.0140574854363114,,,,,,
mlp_add97_f0.4_wd0.0_softmax_ce_s0,900.0,0,124,0,0.9868589365682848,1.0825220637750168,0.9795946568455159,1.0745556111509404,0.9945955712364928,1.0087169395968791,,,,,,
mlp_add97_f0.4_wd0.0_softmax_ce_s1,900.0,0,124,0,0.964712235456048,1.251186150283965,0.9656094940146985,1.2524674402265559,0.9876016874421655,0.9887143579192436,,,,,,
mlp_add97_f0.4_wd0.0_softmax_ce_s2,1100.0,0,124,0,1.038998282111683,0.9404273513905029,1.050237438938884,0.9500709664511621,0.9923360924023794,1.0016786381546667,,,,,,
mlp_add97_f0.4_wd0.0_stablemax_ce_s0,,0,128,0,1.0461889477961481,1.0431551166719946,1.0103153139909207,1.007385512398912,1.0370791649925017,1.0118199673281363,,,,,,
mlp_add97_f0.4_wd0.0_stablemax_ce_s1,,0,128,0,1.0483186859518947,1.0524465890685417,1.0095452340481552,1.017608693489076,1.0369572664347753,0.9909269901073878,,,,,,
mlp_add97_f0.4_wd0.0_stablemax_ce_s2,,0,128,0,1.068682825143653,1.0377386958917252,1.0270313139866136,1.001046217907662,1.0368604090172564,0.9976138985795316,,,,,,
transformer_add113_f0.3_wd0.1_dense_s0,13000.0,0,200,0,1.7722113379761004,17.35484106441832,3.2769213483974227,33.773101218645635,0.5077270513843244,0.49023633270695943,,,,,,
transformer_add113_f0.3_wd0.1_dense_s1,12000.0,0,200,0,1.8850252454920424,11.636965867812123,4.6487956235477945,26.86936959723909,0.43486514466762005,0.5655501775119385,,,,,,
transformer_add113_f0.3_wd0.1_dense_s2,13500.0,2,200,3,1.7654166215853881,6.195439357004116,2.816201962329542,11.173276058428206,0.622331529575001,0.7192661197308362,1.7559198580292517,6.087017963370894,2.8260738904438067,11.076217208886158,0.6172108283972085,0.7223406043743849
transformer_add113_f0.3_wd0.1_dense_s3,11500.0,0,200,0,0.898784898003219,2.9365983965608846,1.7518018793315486,6.604624356181015,0.4895468823622833,0.9166523675565039,,,,,,
transformer_add113_f0.3_wd0.1_dense_s4,10000.0,1,200,2,0.8143024888053461,2.238371762453721,2.0574367721243982,5.868461316207434,0.3783986387824481,0.6576676138306607,0.8143024888053461,2.238371762453721,2.0626679503747094,5.868461316207434,0.3783986387824481,0.6597756281925201
transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000.0,0,120,0,1.4026492717446335,15.318864946567928,2.899287092566698,29.75395345343068,0.4515839976201352,0.4573352070046939,,,,,,
transformer_add113_f0.3_wd0.1_softmax_ce_s1,12000.0,0,120,0,2.041051951171681,12.599851753984009,5.768599048467296,37.6186270236315,0.3579908900749746,0.5439257389740173,,,,,,
transformer_add113_f0.3_wd0.1_softmax_ce_s2,14000.0,1,120,2,1.6784325739430757,6.863249401734347,3.1024682427764594,14.808992637587519,0.48574269313191204,0.48335024124921316,1.6784325739430757,6.792599395814047,3.1024682427764594,14.699853952909047,0.48574269313191204,0.48335024124921316
transformer_add113_f0.3_wd0.1_softmax_ce_s3,11500.0,1,120,2,0.9563256564157616,3.0756792143318314,2.197848441308226,6.7841521244280765,0.3506291077701854,0.7494934778345208,0.9563256564157616,3.0756792143318314,2.197848441308226,6.7841521244280765,0.3506291077701854,0.7494934778345208
transformer_add113_f0.3_wd0.1_softmax_ce_s4,10500.0,2,120,4,0.7001055366839773,1.9480982962905895,2.3776975901703756,6.478398286980889,0.2898449501933095,0.6572189689624295,0.7813610764979012,2.2903021844354736,2.462414657700044,6.516515453604929,0.3321343454856529,0.662496642327849
transformer_add113_f0.3_wd1.0_dense_s0,21500.0,0,188,0,0.8967164187879048,1.8121197567138485,1.0353434556210954,1.864119703605263,0.827520189700718,1.1422292179605247,,,,,,
transformer_add113_f0.3_wd1.0_dense_s1,22300.0,2,188,3,0.7012609627920412,1.1802717848449076,0.9472751166666864,1.4670425572172534,0.8129818648465207,1.1083109115959067,0.7012609627920412,1.1802717848449076,0.9472751166666864,1.4670425572172534,0.8129818648465207,1.1083109115959067
transformer_add113_f0.3_wd1.0_dense_s2,25000.0,0,188,0,1.0901448426433822,3.019218277623506,1.4660212141565228,3.8589109141736717,0.8795512693213979,1.0712969623771984,,,,,,
transformer_add113_f0.3_wd1.0_dense_s3,21100.0,1,188,1,0.9945631338081368,1.715341124384971,1.1947557343718278,1.822005142737672,0.9346282449187369,0.8555592634469763,0.9945631338081368,1.715341124384971,1.1947557343718278,1.822005142737672,0.9346282449187369,0.8555592634469763
transformer_add113_f0.3_wd1.0_dense_s4,19100.0,2,188,2,0.8052303602543476,1.203040313064013,0.9403511800154433,1.519372701463219,0.813440366667779,1.0801808707748906,0.8052303602543476,1.203040313064013,0.9403511800154433,1.519372701463219,0.813440366667779,1.0801808707748906
transformer_add113_f0.3_wd1.0_softmax_ce_s0,21500.0,0,127,0,1.4016210001346991,2.6177436773429803,1.5713693415826302,2.6580073506262507,0.8604866729747503,0.8648346877569743,,,,,,
transformer_add113_f0.3_wd1.0_softmax_ce_s1,27500.0,4,127,5,0.6797293826516251,1.349477521508455,0.9646976278673893,1.8434290773423296,0.7065859680008946,1.195136829575411,0.6797293826516251,1.349477521508455,0.9646976278673893,1.8434290773423296,0.7065859680008946,1.195136829575411
